"База скачана с https://export-base.ru";"Стационарный телефон";"Мобильный телефон";"ИНН";"ОГРН";"Город";"Федеральный округ";"Рубрика";"Подрубрика";"Наличие филиалов";"Координаты(x, y)";"Часовой пояс";
"Авакон-Хамовники";"+7 (499) 246-42-66, +7 (499) 246-88-25";"";"7704123266";"1037739737386";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.733 37.580";"Московское время";
"СПК Траектория";"+7 (499) 714-04-90";"";"7707771610";"1127746184444";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.784 37.590";"Московское время";
"Электрик на дом";"";"+7 (977) 952-79-10";"7714821809";"1107746901470";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.709 37.621";"Московское время";
"ГБУ Жилищник района Новокосино";"+7 (495) 701-07-35, +7 (495) 701-01-90";"";"7720800596";"5137746243916";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.742 37.862";"Московское время";
"Жилищник района Филевский Парк";"+7 (499) 940-79-54, +7 (499) 530-09-97, +7 (499) 940-79-23, +7 (499) 148-05-15, +7 (499) 148-65-29, +7 (499) 148-99-95";"";"7730698817";"5137746233048";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.747 37.499";"Московское время";
"Клининговая компания Вопросы чистоты";"+7 (495) 222-12-12";"+7 (985) 222-12-12";"7724267587";"1037724017429";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.703 37.583";"Московское время";
"ТиссенКрупп Элеватор";"+7 (495) 935-85-18, +7 (495) 935-85-19, +7 (495) 935-85-17";"";"7703342145";"1027700316830";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.692 37.663";"Московское время";
"Единая аварийная служба Южного административного округа";"+7 (495) 674-34-08";"";"7707058720";"1027700149410";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.727 37.665, 55.726 37.666";"Московское время";
"СК-Сити";"+7 (495) 233-63-69, +7 (495) 989-43-42";"";"7743809605";"1117746142040";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.808 37.508";"Московское время";
"Стройград";"+7 (495) 755-40-54";"+7 (903) 795-54-60, +7 (926) 904-14-48";"7704132983";"1027700105740";"Москва";"Центральный федеральный округ";"Аварийные / Экстренные и прочие службы";"Аварийные службы(МЧС)";"";"55.750 37.580";"Московское время";
